codigo,descripcion,familia,desc_familia,grupo_articulo,categoria,color,tipo,unidad,activo
7700149365239,Tapa Fron Der GrBr Jet Evo TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149365246,GuardP Izq GrBr Jet Evo TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149365253,GuardP Der GrBrJet Evo TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149365260,TapaTras Izq GrBr Jet Evo TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149365284,Guardaba Del NB Jet Evo TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149365307,Tapa Fron NB Jet Evo TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149365314,Tapa Fron Izq NB Jet Evo TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149365321,Tapa Fron Der NB Jet Evo TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149365338,GuardP Izq NB Jet Evo TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149365345,GuardP Der NB Jet Evo TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149365352,Panel Inter Der NB Jet Evo TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149365369,TapaTras Izq NB Jet Evo TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149365376,TapaTras Der GrBr Jet Evo TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149365383,Cubta Velo NegMat RX TA ,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149365390,Cubta Tras Cen GriBri RX TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149365406,Cubta Tras Izq GriBri RX TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149365413,Cubta Tras Der GriBri RX TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149365420,Cubta Front GriMatRX TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149365437,Cubta Tras Cen GriMat RX TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149365444,Cubta Tras Izq GriMat RX TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149365451,Cubta Tras Der GriMat RX TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149365475,Guardab Del NegMat RX TA ,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
